Organization Name,Address_1,Address_2,City,State,Zipcode,Organization Phone,Organization email,Fax,Website URL
Butler County Schools,211 School Highlands Rd,,Greenville,AL,36037,334-382-2665,,,https://www.butlerco.k12.al.us/
Department of Youth Services District 210,PO Box 66,,Mount Meigs,AL,36057,,web.info@dys.alabama.gov,,https://dys.alabama.gov/dys-school-district
"Renascence, Inc.",215 Clayton Street,,Montgomery,AL,36104,334-832-1402,,,https://www.halfway-home.net/
Second Chance Foundation,810 Cedar Street,,Montgomery,AL,36106,334-263-9733,,,http://volunteer.handsonriverregion.org/agency/index/
Family Guidance Center of Alabama,2358 Fairlane Drive,,Montgomery,AL,36116,334-270-4100,,,https://familyguidancecenter.org/
Alfred Saliba,545 W Main Street,PO Box 5706,Dothan,AL,36301,334-712-1542,,,http://salibacenter.org/
Regional Alliance 4 Children,99 Edwards St,,Enterprise,AL,36331,334-393-3789,,,
Reid State Technical College,PO Box 588,,Evergreen,AL,36401,251-578-1313 ext. 153,bbryant@rstc.edu,,http://www.rstc.edu/
Hope Place Family Resource Center,212 St. Joseph Ave,,Brewton,AL,36426,251-867-4686,,,https://ssl.acesag.auburn.edu/directory-new/officeResults.php?pun=5962
Children's Policy Council of Dallas County,105 Lauderdale Street,,Selma,AL,36702,,info@dccpc.net,,www.dccpc.net
"Hale Empowerment and Revitalization Organization, Inc.",1120 Main Street,PO Box 318,Greensboro,AL,36744,334-624-0842,,,https://herohousing.org/programs.html
Circle of Care Center for Families,2200 35th Place,,Valley,AL,36854,334-768-4091,circleofcare@knology.net,,http://circleofcare.homestead.com/
Hickman County Schools,1645 Bulldog Blvd,,Centerville,TN,37033,931-729-0256,,,http://hickmank12.org/
Artistree Wood and Strings,907 Shady Circle,,Centerville,TN,37033,931-729-9911,,,http://www.woodandstrings.net/
Dickson County Board of Education,817 N Charlotte Street,,Dickson,TN,37055,615-446-7571,,,http://www.dcstn.org/
Houston County Board of Education,6420 Highway 13,P.O. Box 209,Erin,TN,37061,931-289-4148,,,https://www.houston.k12.tn.us/
Williamson County Board of Education,1320 W Main Street,Suite 202,Franklin,TN,37064,615-472-4071,,,https://www.wcs.edu/
Wilson County Board of Education,107 N Greenwood Street,,Lebanon,TN,37087,615-443-8731,,,https://www.wcschools.com/
Marshall County School System,700 Jones Circle,,Lewisburg,TN,37091,931-359-4558,,,http://mchs.marshall.k12tn.net/
Marshall Education Foundation,P.O. Box 2823,,Lewisburg,TN,37091,903-923-9005,,,https://www.backthemavs.com/
Perry County High School,1056 Squirrel Hollow Dr,,Linden,TN,37096,931-589-3585,,,http://perrycountyschools.us/pchs.html
East Hickman High,7700 Hwy 7,,Lyles,TN,37098,931-670-1366,,,http://hickmank12.org/east-hickman-high-school/
Warren County Board of Education,2548 Morrison Street,,McMinnville,TN,37110,931-473-9850,,931-473-5860,https://www.warrenschools.com/
TN College of Applied Technology @ Shelbyville,1405 Madison Street,,Shelbyville,TN,37162,931-685-5013,,931-685-5016,https://tcatshelbyville.edu/
DeKalb Co. Board of Education,110 South Public Square,,Smithville,TN,37166,615-597-4084,,,http://www.dekalbschools.net/
YMCA Middle Tennessee - Robertson County,3332 Tom Austin Highway,,Springfield,TN,37172,615-382-9622,,,http://www.ymcamidtn.org/about/youth-development
Cannon County Board of Education,301 W Main Street,,Woodbury,TN,37190,615-563-5752,,,http://www.ccstn.net/
Martha O-Brian Center,711 South Seventh St,,Nashville,TN,37206,615-242-3167,,,http://www.marthaobryan.org/
4:13 Strong,1262 Foster Ave,PO Box 101425,Nashville,TN,37210,,steve@413strong.org,,https://413strong.org/
Mid-Cumberland Workforce Services Youth CAN,1101 Kermit Drive,Suite 300,Nashville,TN,37217,615-850-3920,Youthcan@mchra.com,,https://www.mc-workforceservices.com/youth-can/
Tennessee Volunteer ChalleNGe Academy,3965 Stewart's Lane,,Nashville,TN,37218,629-888-5868,TNVCA@tn.gov,,https://www.tn.gov/tnvolunteerchallenge/
Grundy County Department of Education,P.O. Box 97,,Altamont,TN,37301,931-592-4332,,931)592-4332,http://www.grundycoschools.com/
Lincoln County Literacy Council,1600A Wilson Parkway,,Fayetteville,TN,37334,931-438-0555,,931-438-0525,https://www.thelclc.org/
Marion County Board of Education,204 Betsy Pack Drive,,Jasper,TN,37347,423-942-3434,,,http://www.marionschools.org/
Tullahoma City Schools,510 South Jackson Street,,Tullahoma,TN,37388,931-454-2639,,931-454-2651,https://www.tcsedu.net/
Franklin County Board of Education,215 South College Street,,Winchester,TN,37398,931-962-0626,,931-967-3047,http://www.fcstn.net/
YMCA of metropolitan Chattanooga,301 W 6th Street,,Chattanooga,TN,37402,423-266-3766,,,https://www.ymcachattanooga.org/
East Tennessee State University,300 East Main Street,Suite 301,Johnson City,TN,37601,423-232-5736,info@etsu.edu,,https://www.etsu.edu/academicaffairs/scs/professionaldevelopment/career.php
Northeast State Community College,P.O. Box 246,,Blountville,TN,37617,423-323-0222,,,https://www.northeaststate.edu/Corporate-and-Continuing-Education/Workforce-Solutions/
Alliance for Business & Training,386 Highway 91,PO Box 249,Elizabethton,TN,37644,423-547-7500 ext. 128,,,https://www.ab-t.org/copy-of-employer-services
Richard Williams Leadership Academy,229 E Watt Street,Box 5,Alcoa,TN,37701,865-379-6480,,,https://richardwilliamsjracademy.org/
Jefferson County Board of Education,P.O. Box 190,,Dandridge,TN,37725,865-397-3194,,,https://www.jefcoed.com/
Walters State Community College,500 S. Davy Crockett Pkwy,,Morristown,TN,37813,423-318-2708,,,https://ws.edu/home/
Douglas Cherokee Economic Authority,P.O. Box 1218,,Morristown,TN,37816,423-587-4500,,,https://www.douglascherokee.com/
Industrial Development Board of Hawkins County,107 East Main St,Suite 221,Rogersville,TN,37857,423-272-7668,,,http://hawkinstnindustrial.com//
Grainger County Board of Education,P.O. Box 38,,Rutledge,TN,37861,865-828-3611,,,http://www.grainger.k12.tn.us/?DivisionID=9999&DepartmentID=10099&ToggleSideNav=
Sevier County Board of Education,226 Cedar Street,,Sevierville,TN,37862,865-453-4671,,,https://www.sevier.org/
Claiborne County Board of Education,P.O. Box 179,,Tazewell,TN,37879,423-626-3543,,,http://www.claibornecountyschools.com/
Knoxville Leadership Foundation,"The Regas Building, 318 N. Gay Street",Suite 210,Knoxville,TN,37917,865-524-2774,,,http://www.klf.org/index.php/programs/knoxworx/
CAC Americorps,2247 Western Ave,,Knoxville,TN,37921,865-546-3500,,,https://cacamericorps.org/
Huntington Learning Center,117 North Peters Road,,Knoxville,TN,37923,865-691-6688,,,https://huntingtonhelps.com/center/knoxville
Sylvan Learning Center,9050 Executive Park Dr,Ste A100,Knoxville,TN,37923,865-690-7600,,,https://locations.sylvanlearning.com/us/west-knoxville-tn
Pellissippi State Community College,10915 Hardin Valley Rd,,Knoxville,TN,37932,865-694-6587,,,http://www.pstcc.edu/
Crockett County School System,102 N Cavalier Drive,,Alamo,TN,38001,731-696-2604,,,https://www.ccschools.net/
Crockett County School System,2014 Hwy 88,,Alamo,TN,38001,731-696-4525,,,https://www.ccschools.net/
Tipton County School System,1580 Highway 51 S,,Covington,TN,38019,901-476-7148 ext. 8045,,,https://www.tipton-county.com/
Tipton County School System,803 S College Street,,Covington,TN,38019,901-457-5850,,,https://www.tipton-county.com/
Dyersburg City School System,125 Highway 51 Bypass,,Dyersburg,TN,38024,731-286-3632,,,https://www.dyersburgcityschools.org/
Dyersburg City School System,307 East College Street,,Dyersburg,TN,38025,731-286-3600,,,https://www.dyersburgcityschools.org/
Fayette County Schools In-School Program,13510 N Main Street,P.O. Box 23,Somerville,TN,38068,901-465-2300,,,https://www.fcsk12.net/
Lake County Board of Education,300 Cochran Street,,Tiptonville,TN,38079,731-253-3821,,,http://www.lcfalcons.net/
Lake County Board of Education,819 McBride Street,,Tiptonville,TN,38079,731-253-6601,,,http://www.lcfalcons.net/
Workforce Investment Network,155 Angelus Street,,Memphis,TN,38104,901-707-8419,,,http://www.workforceinvestmentnetwork.com/youth-services/introduction
Memphis Housing Authority Out-of-School Program,700 Adams Ave.,,Memphis,TN,38105,901-544-1131,,,http://www.memphisha.org/index.php/departments/human-services
YWCA of Greater Memphis Out-of-School Program,766 S Highland,,Memphis,TN,38111,901-323-2211,,,https://www.memphisywca.org/
Shelby County Schools In-School Program,160 S Hollywood,,Memphis,TN,38116,901-416-4936,,,http://www.scsk12.org//beforeaftercare/
Shelby County Schools Out-of-School Program,160 S Hollywood,,Memphis,TN,38116,901-416-4936,,,http://www.scsk12.org//beforeaftercare/
Youth Visions (Leadership Empowerment) In-School Program,3925 Overton Crossing,,Memphis,TN,38127,901-358-7788,,901-353-1766,https://www.facebook.com/pages/Youth-Visions/121457507912868
City of McKenzie,2470 Cedar Street,P.O. Box 160,McKenzie,TN,38201,731-352-2246,,,https://mckenzietn.org/mckenzie-101/resources/children-youth-resources/
Weakley County School System,8318 Highway 22,Suite A,Dresden,TN,38225,731-364-2186,,,http://www.weakleyschools.com/
Obion County School System,1302 S Fulton Drive,,South Fulton,TN,38257,731-479-1123,,,https://www.obioncountyschools.com/
Obion County School System,315 S Third Street,,Union City,TN,38261,731-885-9743,,,https://www.obioncountyschools.com/
Jackson State Community College,2046 N Parkway,,Jackson,TN,38301,731-424-3520,,,https://www.jscc.edu/
Bradford Special School District,106 W Front Street,P.O. Box 70,Bradford,TN,38316,731-742-3180,,,http://www.bradfordssd.schoolinsites.com/
Benton County School System,197 Briarwood Avenue,,Camden,TN,38320,731-584-6111,,,https://tn01917024.schoolwires.net/
Gibson County Special School District,130 Trenton Highway,P.O. Box 60,Dyer,TN,38330,731-692-3803,,,https://www.gcssd.org/
"Henderson Co Schools, YES Program",293 N Broad Street,,Lexington,TN,38351,731-968-1200,,,http://www.hcschoolstn.org/
Gibson County Special School District,1000 Hornet Drive,P.O. Box 249,Medina,TN,38355,731-783-0999,,,https://www.gcssd.org/
Tennessee College of Applied Technology - Hohenwald,813 W Main Street,,Hohenwald,TN,38362,931-796-5351,,,https://tcathohenwald.edu/
McNairy County Schools,701 Industrial Park Road,,Selmer,TN,38375,731-645-5386,,,http://www.mcnairycountyschools.com/
Giles County High School,200 Shelia Frost Drive,,Pulaski,TN,38378,931-424-6205,,,http://aroberts32.wixsite.com/gilescountyhigh
Trenton Special School District,201 W Tenth Street,,Trenton,TN,38382,731-855-1191,,,https://www.trentonssd.org/
Trenton Special School District,2069 Highway 45 Bypass,,Trenton,TN,38382,731-855-2601,,,https://www.trentonssd.org/
Columbia Central High,921 Lion Pkwy,,Columbia,TN,38401,931-381-2222,,,http://columbiacentralhighmauryk12.ss9.sharpschool.com/
Richland High School,10610 Columbia Hwy,,Lynnville,TN,38472,931-796-5351,,,
Giles County School System,270 Richland Drive,,Pulaski,TN,38478,931-363-4558,,,https://www.gcboe.us/
Wayne County School System,419 S Main Street,,Waynesboro,TN,38485,931-722-3548,,,http://www.waynetn.net/
Putnam Co. Board of Education,1400 East Spring Street,,Cookeville,TN,38501,931-526-9777,,,http://www.pcsstn.com/pages/Putnam_County_SchoolSystem
Pickett Co. Board of Education,141 Skyline Drive,,Byrdstown,TN,38549,931-864-3123,,,https://www.pickettk12.net/
Clay Co. Board of Education,520 Brown Street,P.O. Box 46,Celina,TN,38551,931-243-331,,,http://www.clayedu.com/
Fentress Co. Board of Education,1011 S Old Hwy 127,P.O. Box 963,Jamestown,TN,38556,931-879-9218,,,https://www.fentressboe.com/
Alvin C. York Institute,P.O. Box 70,,Jamestown,TN,38556,931-879-2137,,,http://www2.york.k12.tn.us/
Jackson Co. Board of Education,711 School Drive,,Gainesboro,TN,38562,931-268-0119,info@jacksoncoschools.com,,https://www.jacksoncoschools.com/
Overton County Dept. of Public Instruction,302 Zachary Street,,Livingston,TN,38570,931-823-1287,,,https://www.oc-sd.com/
White Co. Board of Education,136 Baker Street,,Sparta,TN,38583,931-836-2229,,,http://www.whitecoschools.net/
South Panola School District,209 Boothe Street,,Batesville,MS,38606,662-563-9361,news@spanola.net,662-563-9666,https://www.spsd.k12.ms.us/
Coahoma Community College,510 Sunbelt Drive,,Clarksdale,MS,38614,662-627-9139,,662-627-3995,http://www.coahomacc.edu/programs-of-study/workforce/workforce/index
Mississippi Action for Community Education - YouthBuild,119 South Theobald Street,,Greenville,MS,38701,662-334-2945,,,http://www.deltamace.org/programs/youthbuild/about/
"WWISCAA, Inc",Post Office Box 1813,,Greenville,MS,38701,662-378-8663,,662-378-2734,http://wwiscaa.com/
"Sunflower-Humphreys Counties Progress, Inc.",Post Office Box 908,,Indianola,MS,38751,662-887-1362,,662-887-4888,
"Mid-State Opportunity, Inc",Post Office Box 270,,Charleston,MS,38921,662-647-2463,midstateopp@bellsouth.net,662-647-5868,http://midstateopp.com/
North Central PDD,28 Industrial Park Blvd,,Winona,MS,38967,662-283-4614,jbringo@ncpdd.org,662-624-5875,http://ncpdd.info/
West Jackson Community Development Corp.,1060 John R. Lynch Street,,Jackson,MS,39203,601-352-6983,,,http://westjacksoncdc.net/youthdevelopment.htm
CARES of Mississippi,4795 McWillie Dr,Suite 160,Jackson,MS,39206,228-769-0270,,,
Mississippi ChalleNGe Academy,Bldg 80 W Jackson Avenue,,Camp Shelby,MS,39407,800-507-6253,cgaudet@msyouthchallenge.org,,http://msyouthchallenge.org/
CLIMB CDC (formerly YB Gulf Coast),1316 30th Avenue,,Gulfport,MS,39501,228-864-6677,,,http://www.climbcdc.org/
Kentucky Youth Career Center - Shelby County,227A Alpine Drive,,Shelbyville,KY,40065,502-844-2119,,,https://www.wearekycc.org/
Kentucky Youth Career Center - Bullitt County,505 Buffalo Run Road,Suite 100A,Shepherdsville,KY,40165,502-543-1342,,,https://www.wearekycc.org/
Kentucky Youth Career Center - Jefferson County,612 S. 4th Street,4th Floor,Louisville,KY,40202,502-574-4115,,,https://www.wearekycc.org/
Young Adult Development in Action DBA YouthBuild Hazard,800 South Preston Street,Room 106,Louisville,KY,40203,502-290-6122,,,http://yblky.org/
"Northern Kentucky Community Action Commission, Inc.",717 Madison Ave.,,Covington,KY,41011,859-655-2950,,,https://www.nkcac.org/services/youthbuild-of-northern-kentucky/
Brighton Center,601 Washington Avenue,Suite 140,Newport,KY,41071,859-491-8303 ext. 2201,lastopa@brightoncenter.com,,https://www.brightoncenter.com/programs/employment_services/center-for-employment-training
Big Sandy Community Action Program - Martin County,387 East Main Street,,Inez,KY,41224,606-298-3217,,,
Big Sandy Community Action Program - Johnson County,230 Court Street,,Paintsville,KY,41240,606-789-3641,,,
Big Sandy Community Action Program  -  Magoffin County,131 South Church Street,,Salyersville,KY,41465,606-349-2217,,,
Big Sandy Community Action Program - Martin County,478 Town Mountain Road,,Pikeville,KY,41501,606-432-2775,,,
Big Sandy Community Action Program - Floyd County,60 Court Street,,Allen,KY,41601,606-874-3595,,,
Community Action of Fayette County,1400 US Route 22 NW,,Washington Courthouse,OH,43160,740-335-7282,,,http://www.fccaa.org/programs-and-services.jsp?pageId=0500280840951351807633273
Eckerd Connects Workforce Development,100 Jefferson Ave,,Columbus,OH,43215,614-221-3398 ext.101,,,https://eckerd.org/region/oh/
Per Scholas Columbus,112 Jefferson Ave,,Columbus,OH,43215,614-824-4777,columbus@perscholas.org,,https://perscholas.org/about?city=columbus
"Youth Over Us, Inc.",1394 Courtright Road,,Columbus,OH,43227,614-942-2020,,,
WSOS Community Action Commission Inc.,127 S. Front St.,PO Box 590,Fremont,OH,43420,419-334-6069,,,https://www.glcap.org/programs/job-training-placement/youth-young-adult-employment/
Guidestone,202 East Bagley Road,,Berea,OH,44017,440-234-2006,,,https://ohioguidestone.org/services/job-training/
Trumbull Metropolitan Housing Authority,4076 Youngstown Road SE,Suite 101,Warren,OH,44484,330-369-7325,,,https://www.trumbulltmha.org/?page_id=63
"Project Rebuild, Inc.",406 Shorb Avenue NW,,Canton,OH,44711,330-588-3205,,,https://projectrebuild.org/
Easter Seals TriState LLC,2901 Gilbert Avenue,,Cincinnati,OH,45206,513-386-6852,,,https://www.easterseals.com/gc/our-programs/youth-services/
Per Scholas Cincinnati,800 Bank Street,,Cincinnati,OH,45214,513-357-2006,cincinnati@perscholas.org,,https://perscholas.org/about
Hoosier Youth ChalleNGe Academy,10892 N State Road140,,Knightstown,IN,46148,866-477-0156,info@hoosieryouth.org,,http://hoosieryouthchallenge.org/
Employ Indy,115 W. Washington Street,Suite 450S,Indianapolis,IN,46204,317-684-2212,,,https://employindy.org/youth-services/
ReadyNWI,2804 Boilermaker Court,Suite E,Valparaiso,IN,46304,219-462-2940,,,https://www.readynwi.com/
Crown Point Adult Learning Center,122 N Main Street,,Crown Point,IN,46307,219-314-9904,crownpointalc@cwicorp.com,,https://www.cwicorp.com/
East Chicago Central High School - JAG Program,1100 W Columbus Drive,,East Chicago,IN,46312,219-391-4000,,,http://gotoworkonenw.com/youth-services/training-education/local-jag-programs/
Hammond High School - JAG Program,5926 Calumet Ave,,Hammond,IN,46320,219-933-2442,,,http://gotoworkonenw.com/youth-services/training-education/local-jag-programs/
